"date","mean","max","min","sd","cv","n","method","category","site"
1998-01-23,9.79,"NA","NA",NA,NA,1,"daily_mean","data","yb"
1998-01-24,9.72,"NA","NA",NA,NA,1,"daily_mean","data","yb"
1998-01-25,9.8,"NA","NA",NA,NA,1,"daily_mean","data","yb"
1998-01-26,9.44,"NA","NA",NA,NA,1,"daily_mean","data","yb"
1998-04-01,11.46,"NA","NA",NA,NA,1,"daily_mean","data","yb"
1998-04-02,11.73,"NA","NA",NA,NA,1,"daily_mean","data","yb"
1998-04-03,11.46,"NA","NA",NA,NA,1,"daily_mean","data","yb"
1998-04-04,11.52,"NA","NA",NA,NA,1,"daily_mean","data","yb"
1998-04-05,12.58,"NA","NA",NA,NA,1,"daily_mean","data","yb"
1998-04-06,13.28,"NA","NA",NA,NA,1,"daily_mean","data","yb"
1998-04-07,13.4,"NA","NA",NA,NA,1,"daily_mean","data","yb"
1998-04-08,13.49,"NA","NA",NA,NA,1,"daily_mean","data","yb"
1998-04-09,14.25,"NA","NA",NA,NA,1,"daily_mean","data","yb"
1998-04-10,15.07,"NA","NA",NA,NA,1,"daily_mean","data","yb"
1998-04-11,14.96,"NA","NA",NA,NA,1,"daily_mean","data","yb"
1998-04-12,14.68,"NA","NA",NA,NA,1,"daily_mean","data","yb"
1998-04-13,13.52,"NA","NA",NA,NA,1,"daily_mean","data","yb"
1998-04-14,12.78,"NA","NA",NA,NA,1,"daily_mean","data","yb"
1998-04-15,14.56,"NA","NA",NA,NA,1,"daily_mean","data","yb"
1998-04-16,15.65,"NA","NA",NA,NA,1,"daily_mean","data","yb"
1998-04-17,16.68,"NA","NA",NA,NA,1,"daily_mean","data","yb"
1998-04-18,17.19,"NA","NA",NA,NA,1,"daily_mean","data","yb"
1998-04-19,18.33,"NA","NA",NA,NA,1,"daily_mean","data","yb"
1998-04-20,19.34,"NA","NA",NA,NA,1,"daily_mean","data","yb"
1998-04-21,20.83,"NA","NA",NA,NA,1,"daily_mean","data","yb"
1998-04-22,22.09,"NA","NA",NA,NA,1,"daily_mean","data","yb"
1998-04-23,18.96,"NA","NA",NA,NA,1,"daily_mean","data","yb"
1998-04-24,17.13,"NA","NA",NA,NA,1,"daily_mean","data","yb"
1998-04-25,17.51,"NA","NA",NA,NA,1,"daily_mean","data","yb"
1998-04-26,17.22,"NA","NA",NA,NA,1,"daily_mean","data","yb"
1998-04-27,18.49,"NA","NA",NA,NA,1,"daily_mean","data","yb"
1998-04-28,19.78,"NA","NA",NA,NA,1,"daily_mean","data","yb"
1998-04-29,20.46,"NA","NA",NA,NA,1,"daily_mean","data","yb"
1998-04-30,20.67,"NA","NA",NA,NA,1,"daily_mean","data","yb"
1998-05-01,20.06,"NA","NA",NA,NA,1,"daily_mean","data","yb"
1998-05-02,19.15,"NA","NA",NA,NA,1,"daily_mean","data","yb"
1998-05-03,18.9,"NA","NA",NA,NA,1,"daily_mean","data","yb"
1998-05-04,19.5,"NA","NA",NA,NA,1,"daily_mean","data","yb"
1998-05-05,19.36,"NA","NA",NA,NA,1,"daily_mean","data","yb"
1998-05-06,18.41,"NA","NA",NA,NA,1,"daily_mean","data","yb"
1998-05-07,18.26,"NA","NA",NA,NA,1,"daily_mean","data","yb"
1998-05-08,18.48,"NA","NA",NA,NA,1,"daily_mean","data","yb"
1998-05-09,17.79,"NA","NA",NA,NA,1,"daily_mean","data","yb"
1998-05-10,17.79,"NA","NA",NA,NA,1,"daily_mean","data","yb"
1998-05-11,17.38,"NA","NA",NA,NA,1,"daily_mean","data","yb"
1998-05-12,16.53,"NA","NA",NA,NA,1,"daily_mean","data","yb"
1998-05-13,15.67,"NA","NA",NA,NA,1,"daily_mean","data","yb"
1998-05-14,15.95,"NA","NA",NA,NA,1,"daily_mean","data","yb"
1998-05-15,16.76,"NA","NA",NA,NA,1,"daily_mean","data","yb"
1998-05-16,16.92,"NA","NA",NA,NA,1,"daily_mean","data","yb"
1998-05-17,17.21,"NA","NA",NA,NA,1,"daily_mean","data","yb"
1998-05-18,17.72,"NA","NA",NA,NA,1,"daily_mean","data","yb"
1998-05-19,18.16,"NA","NA",NA,NA,1,"daily_mean","data","yb"
1998-05-20,18.51,"NA","NA",NA,NA,1,"daily_mean","data","yb"
1998-05-21,18.76,"NA","NA",NA,NA,1,"daily_mean","data","yb"
