,Date,day.t
1,1998/1/23,9.79
2,1998/1/24,9.72
3,1998/1/25,9.8
4,1998/1/26,9.44
5,1998/4/1,11.46
6,1998/4/2,11.73
7,1998/4/3,11.46
8,1998/4/4,11.52
9,1998/4/5,12.58
10,1998/4/6,13.28
11,1998/4/7,13.4
12,1998/4/8,13.49
13,1998/4/9,14.25
14,1998/4/10,15.07
15,1998/4/11,14.96
16,1998/4/12,14.68
17,1998/4/13,13.52
18,1998/4/14,12.78
19,1998/4/15,14.56
20,1998/4/16,15.65
21,1998/4/17,16.68
22,1998/4/18,17.19
23,1998/4/19,18.33
24,1998/4/20,19.34
25,1998/4/21,20.83
26,1998/4/22,22.09
27,1998/4/23,18.96
28,1998/4/24,17.13
29,1998/4/25,17.51
30,1998/4/26,17.22
31,1998/4/27,18.49
32,1998/4/28,19.78
33,1998/4/29,20.46
34,1998/4/30,20.67
35,1998/5/1,20.06
36,1998/5/2,19.15
37,1998/5/3,18.9
38,1998/5/4,19.5
39,1998/5/5,19.36
40,1998/5/6,18.41
41,1998/5/7,18.26
42,1998/5/8,18.48
43,1998/5/9,17.79
44,1998/5/10,17.79
45,1998/5/11,17.38
46,1998/5/12,16.53
47,1998/5/13,15.67
48,1998/5/14,15.95
49,1998/5/15,16.76
50,1998/5/16,16.92
51,1998/5/17,17.21
52,1998/5/18,17.72
53,1998/5/19,18.16
54,1998/5/20,18.51
55,1998/5/21,18.76
56,1998/5/22,19.65
57,1998/5/23,20.53
58,1998/5/24,20.74
59,1998/5/25,20.66
60,1998/5/26,20.16
61,1998/5/27,19.56
62,1998/5/28,18.17
63,1998/5/29,16.53
64,1998/5/30,16.12
65,1998/5/31,17.76
66,1998/6/1,19.96
67,1998/6/2,19.16
68,1998/6/3,18.21
69,1998/6/4,18.2
70,1998/6/5,19.27
71,1998/6/6,20.09
72,1998/6/7,19.34
73,1998/6/8,19.88
74,1998/6/9,21.36
75,1998/6/10,20.77
76,1998/6/11,19.27
77,1998/6/12,20.24
78,1998/6/13,21.31
79,1998/6/14,NA
80,1998/6/15,25.09
81,1998/6/16,24.59
82,1998/6/17,22.01
83,1998/6/18,23.16
84,1998/6/19,23.14
85,1998/6/20,22.88
86,1998/6/21,22.58
87,1998/6/22,22.56
88,1998/6/23,22.68
89,1998/6/24,22.7
90,1998/6/25,22.53
91,1998/6/26,22.66
92,1998/6/27,24.01
93,1998/6/28,24.41
94,1998/6/29,23.85
95,1998/6/30,23.64
96,1999/1/12,6.423
97,1999/1/13,6.309166667
98,1999/1/14,6.3475
99,1999/1/15,6.812916667
100,1999/1/16,7.610416667
101,1999/1/17,8.348333333
102,1999/1/18,9.454166667
103,1999/1/19,10.63291667
104,1999/1/20,11.72583333
105,1999/1/21,12.10666667
106,1999/1/22,11.61541667
107,1999/1/23,11.49833333
108,1999/1/24,10.82625
109,1999/1/25,9.921666667
110,1999/1/26,8.7825
111,1999/1/27,8.027083333
112,1999/1/28,7.859166667
113,1999/1/29,7.943333333
114,1999/1/30,7.917083333
115,1999/1/31,7.716666667
116,1999/2/1,7.939166667
117,1999/2/2,8.443333333
118,1999/2/3,8.790833333
119,1999/2/4,NA
120,1999/2/5,9.583333333
121,1999/2/6,9.6325
122,1999/2/7,9.562916667
123,1999/2/8,10.32375
124,1999/2/9,10.78041667
125,1999/2/10,9.831666667
126,1999/2/11,8.62375
127,1999/2/12,8.763333333
128,1999/2/13,8.777083333
129,1999/2/14,8.8425
130,1999/2/15,8.635416667
131,1999/2/16,8.99625
132,1999/2/17,9.92
133,1999/2/18,10.48958333
134,1999/2/19,9.876666667
135,1999/2/20,9.566666667
136,1999/2/21,9.410416667
137,1999/2/22,9.903333333
138,1999/2/23,10.47708333
139,1999/2/24,10.62
140,1999/2/25,10.45208333
141,1999/2/26,10.31125
142,1999/2/27,10.90125
143,1999/2/28,11.70625
144,1999/3/1,12.39875
145,1999/3/2,12.71666667
146,1999/3/3,12.44458333
147,1999/3/4,11.77083333
148,1999/3/5,11.02625
149,1999/3/6,10.91041667
150,1999/3/7,10.97458333
151,1999/3/8,10.30416667
152,1999/3/9,9.66875
153,1999/3/10,9.88125
154,1999/3/11,10.07
155,1999/3/12,10.445
156,1999/3/13,11.21125
157,1999/3/14,12.01666667
158,1999/3/15,12.00291667
159,1999/3/16,12.23791667
160,1999/3/17,12.67625
161,1999/3/18,13.74375
162,1999/3/19,13.71875
163,1999/3/20,13.45208333
164,1999/3/21,13.135
165,1999/3/22,13.80166667
166,1999/3/23,13.91791667
167,1999/3/24,13.96166667
168,1999/3/25,14.18208333
169,1999/3/26,14.23916667
170,1999/3/27,14.535
171,1999/3/28,14.50875
172,1999/3/29,13.68375
173,1999/3/30,14.00541667
174,1999/3/31,13.29791667
175,1999/4/1,12.56125
176,1999/4/2,12.75416667
177,1999/4/3,12.68416667
178,1999/4/4,12.45791667
179,1999/4/5,10.02583333
180,1999/4/6,10.83833333
181,1999/4/7,10.88916667
182,1999/4/8,12.63208333
183,1999/4/9,12.34666667
184,1999/4/10,12.38083333
185,1999/4/11,12.69041667
186,1999/4/12,12.45041667
187,1999/4/13,13.56041667
188,1999/4/14,14.95166667
189,1999/4/15,17.26833333
190,1999/4/16,17.51541667
191,1999/4/17,19.38875
192,1999/4/18,20.61458333
193,1999/4/19,20.26583333
194,1999/4/20,19.39666667
195,1999/4/21,19.19375
196,1999/4/22,18.89041667
197,1999/4/23,18.38208333
198,1999/4/24,17.1875
199,1999/4/25,17.13916667
200,1999/4/26,17.28625
201,1999/4/27,17.18083333
202,1999/4/28,16.33833333
203,1999/4/29,16.20041667
204,1999/4/30,15.2625
205,1999/5/1,16.30041667
206,1999/5/2,16.63666667
207,1999/5/3,16.30416667
208,1999/5/4,16.33875
209,1999/5/5,16.94708333
210,1999/5/6,17.81375
211,1999/5/7,18.23416667
212,1999/5/8,18.43083333
213,1999/5/9,18.34791667
214,1999/5/10,18.27458333
215,1999/5/11,18.79041667
216,1999/5/12,NA
217,1999/5/13,19.53208333
218,1999/5/14,19.13958333
219,1999/5/15,18.87708333
220,1999/5/16,19.04041667
221,1999/5/17,19.42791667
222,1999/5/18,19.73291667
223,1999/5/19,19.79333333
224,1999/5/20,19.58541667
225,1999/5/21,19.90166667
226,1999/5/22,20.49
227,1999/5/23,20.24416667
228,1999/5/24,19.87291667
229,1999/5/25,20.09875
230,1999/5/26,20.74791667
231,1999/5/27,20.83666667
232,1999/5/28,20.62541667
233,1999/5/29,20.0225
234,1999/5/30,19.9075
235,1999/5/31,19.82
236,1999/6/1,19.62625
237,1999/6/2,19.43708333
238,1999/6/3,19.45125
239,1999/6/4,19.86
240,1999/6/5,20.25375
241,1999/6/6,20.51708333
242,1999/6/7,20.24416667
243,1999/6/8,20.18583333
244,1999/6/9,20.45708333
245,1999/6/10,20.62666667
246,1999/6/11,20.84375
247,1999/6/12,20.86625
248,1999/6/13,21.03375
249,1999/6/14,21.60916667
250,1999/6/15,21.44291667
251,1999/6/16,21.425
252,1999/6/17,22.13
253,1999/6/18,22.575
254,1999/6/19,22.70833333
255,1999/6/20,23.06541667
256,1999/6/21,23.18583333
257,1999/6/22,23.77125
258,1999/6/23,24.08458333
259,1999/6/24,23.39125
260,1999/6/25,22.96833333
261,1999/6/26,23.21666667
262,1999/6/27,23.67875
263,1999/6/28,24.47458333
264,1999/6/29,25.41708333
265,1999/6/30,26.44956522
266,1999/7/1,26.95833333
267,1999/7/2,26.01291667
268,1999/7/3,24.28041667
269,1999/7/4,23.47083333
270,1999/7/5,23.88416667
271,1999/7/6,23.97041667
272,1999/7/7,23.4775
273,1999/7/8,23.27083333
274,2000/1/3,7.914615385
275,2000/1/4,7.7475
276,2000/1/5,7.709166667
277,2000/1/6,7.50875
278,2000/1/7,7.534166667
279,2000/1/8,7.571666667
280,2000/1/9,7.579166667
281,2000/1/10,7.871666667
282,2000/1/11,8.357083333
283,2000/1/12,8.496666667
284,2000/1/13,8.515416667
285,2000/1/14,8.747083333
286,2000/1/15,9.145833333
287,2000/1/16,9.579583333
288,2000/1/17,9.71
289,2000/1/18,9.9
290,2000/1/19,10.36958333
291,2000/1/20,10.8
292,2000/1/21,11.025
293,2000/1/22,11.27583333
294,2000/1/23,11.5275
295,2000/1/24,11.2
296,2000/1/25,11.38625
297,2000/1/26,11.55291667
298,2000/1/27,11.6625
299,2000/1/28,11.41125
300,2000/1/29,11.475
301,2000/1/30,11.33833333
302,2000/1/31,10.845
303,2000/2/1,10.81875
304,2000/2/2,11.21083333
305,2000/2/3,11.39791667
306,2000/2/4,11.0825
307,2000/2/5,11.48208333
308,2000/2/6,11.84416667
309,2000/2/7,12.03166667
310,2000/2/8,12.07041667
311,2000/2/9,12.31458333
312,2000/2/10,12.58375
313,2000/2/11,12.29625
314,2000/2/12,11.71916667
315,2000/2/13,11.5475
316,2000/2/14,11.88916667
317,2000/2/15,12.13416667
318,2000/2/16,11.82375
319,2000/2/17,11.33583333
320,2000/2/18,10.88291667
321,2000/2/19,11.59833333
322,2000/2/20,11.67666667
323,2000/2/21,11.66166667
324,2000/2/22,11.39083333
325,2000/2/23,10.7425
326,2000/2/24,10.52375
327,2000/2/25,10.74166667
328,2000/2/26,11.27458333
329,2000/2/27,11.1975
330,2000/2/28,10.83791667
331,2000/2/29,11.07166667
332,2000/3/1,11.32666667
333,2000/3/2,11.47083333
334,2000/3/3,11.19166667
335,2000/3/4,11.41666667
336,2000/3/5,11.57208333
337,2000/3/6,11.13916667
338,2000/3/7,10.795
339,2000/3/8,10.52416667
340,2000/3/9,10.34958333
341,2000/3/10,10.56208333
342,2000/3/11,11.26208333
343,2000/3/12,11.92166667
344,2000/3/13,12.32875
345,2000/3/14,12.98708333
346,2000/3/15,13.47166667
347,2000/3/16,14.23958333
348,2000/3/17,14.205
349,2000/3/18,14.98458333
350,2000/3/19,16.40041667
351,2000/3/20,13.44208333
352,2000/3/21,NA
353,2000/3/22,13.96
354,2000/3/23,15.10666667
355,2000/3/24,15.26458333
356,2000/3/25,15.3375
357,2000/3/26,15.76666667
358,2000/3/27,15.79166667
