Date,Time,Temp.F,Batt.V
2014/6/14,2:45:00 PM,73.774,3.57
2014/6/14,3:00:00 PM,73.774,3.57
2014/6/14,3:15:00 PM,73.818,3.57
2014/6/14,3:30:00 PM,73.904,3.57
2014/6/14,3:45:00 PM,73.904,3.57
2014/6/14,4:00:00 PM,73.947,3.57
2014/6/14,4:15:00 PM,73.861,3.57
2014/6/14,4:30:00 PM,73.904,3.57
2014/6/14,4:45:00 PM,73.904,3.57
2014/6/14,5:00:00 PM,74.077,3.57
2014/6/14,5:15:00 PM,74.295,3.57
2014/6/14,5:30:00 PM,74.25,3.57
2014/6/14,5:45:00 PM,74.25,3.57
2014/6/14,6:00:00 PM,74.424,3.57
2014/6/14,6:15:00 PM,74.727,3.54
2014/6/14,6:30:00 PM,74.77,3.57
2014/6/14,6:45:00 PM,74.597,3.57
2014/6/14,7:00:00 PM,74.338,3.57
2014/6/14,7:15:00 PM,74.12,3.57
2014/6/14,7:30:00 PM,73.818,3.57
2014/6/14,7:45:00 PM,73.558,3.57
2014/6/14,8:00:00 PM,73.429,3.57
2014/6/14,8:15:00 PM,73.213,3.57
2014/6/14,8:30:00 PM,73.213,3.57
2014/6/14,8:45:00 PM,73.256,3.57
2014/6/14,9:00:00 PM,73.299,3.57
2014/6/14,9:15:00 PM,73.386,3.57
2014/6/14,9:30:00 PM,73.602,3.57
2014/6/14,9:45:00 PM,73.818,3.57
2014/6/14,10:00:00 PM,73.99,3.57
2014/6/14,10:15:00 PM,74.12,3.57
2014/6/14,10:30:00 PM,74.206,3.57
2014/6/14,10:45:00 PM,74.206,3.57
2014/6/14,11:00:00 PM,74.034,3.57
2014/6/14,11:15:00 PM,73.818,3.57
2014/6/14,11:30:00 PM,73.688,3.57
2014/6/14,11:45:00 PM,73.558,3.57
2014/6/15,12:00:00 AM,73.472,3.57
2014/6/15,12:15:00 AM,73.429,3.57
2014/6/15,12:30:00 AM,73.342,3.57
2014/6/15,12:45:00 AM,73.299,3.57
2014/6/15,1:00:00 AM,73.213,3.57
2014/6/15,1:15:00 AM,73.17,3.57
2014/6/15,1:30:00 AM,73.17,3.57
2014/6/15,1:45:00 AM,73.17,3.57
2014/6/15,2:00:00 AM,73.256,3.57
2014/6/15,2:15:00 AM,73.299,3.57
2014/6/15,2:30:00 AM,73.342,3.57
2014/6/15,2:45:00 AM,73.429,3.57
2014/6/15,3:00:00 AM,73.342,3.57
2014/6/15,3:15:00 AM,73.126,3.57
2014/6/15,3:30:00 AM,72.783,3.57
2014/6/15,3:45:00 AM,72.437,3.54
2014/6/15,4:00:00 AM,72.05,3.54
2014/6/15,4:15:00 AM,71.791,3.54
2014/6/15,4:30:00 AM,71.533,3.54
2014/6/15,4:45:00 AM,71.361,3.54
2014/6/15,5:00:00 AM,71.231,3.54
2014/6/15,5:15:00 AM,71.103,3.54
2014/6/15,5:30:00 AM,70.974,3.54
2014/6/15,5:45:00 AM,70.846,3.54
2014/6/15,6:00:00 AM,70.716,3.54
2014/6/15,6:15:00 AM,70.543,3.54
2014/6/15,6:30:00 AM,70.372,3.54
2014/6/15,6:45:00 AM,70.201,3.54
2014/6/15,7:00:00 AM,70.158,3.54
2014/6/15,7:15:00 AM,70.115,3.54
2014/6/15,7:30:00 AM,70.115,3.54
2014/6/15,7:45:00 AM,70.158,3.54
2014/6/15,8:00:00 AM,70.329,3.54
2014/6/15,8:15:00 AM,70.459,3.54
2014/6/15,8:30:00 AM,70.63,3.54
2014/6/15,8:45:00 AM,70.759,3.54
2014/6/15,9:00:00 AM,70.93,3.54
2014/6/15,9:15:00 AM,71.06,3.54
2014/6/15,9:30:00 AM,71.231,3.54
2014/6/15,9:45:00 AM,71.361,3.54
2014/6/15,10:00:00 AM,71.533,3.54
2014/6/15,10:15:00 AM,71.704,3.54
2014/6/15,10:30:00 AM,71.92,3.54
2014/6/15,10:45:00 AM,72.093,3.54
2014/6/15,11:00:00 AM,72.307,3.54
2014/6/15,11:15:00 AM,72.567,3.57
2014/6/15,11:30:00 AM,72.739,3.57
2014/6/15,11:45:00 AM,72.955,3.57
2014/6/15,12:00:00 PM,73.126,3.57
2014/6/15,12:15:00 PM,73.342,3.57
2014/6/15,12:30:00 PM,73.515,3.57
2014/6/15,12:45:00 PM,73.602,3.57
2014/6/15,1:00:00 PM,73.731,3.57
2014/6/15,1:15:00 PM,73.818,3.57
2014/6/15,1:30:00 PM,73.818,3.57
2014/6/15,1:45:00 PM,73.861,3.57
2014/6/15,2:00:00 PM,73.904,3.57
2014/6/15,2:15:00 PM,73.904,3.57
2014/6/15,2:30:00 PM,73.947,3.57
2014/6/15,2:45:00 PM,73.947,3.57
2014/6/15,3:00:00 PM,73.947,3.57
2014/6/15,3:15:00 PM,74.12,3.57
2014/6/15,3:30:00 PM,74.12,3.57
2014/6/15,3:45:00 PM,74.12,3.57
2014/6/15,4:00:00 PM,74.338,3.57
2014/6/15,4:15:00 PM,74.295,3.57
2014/6/15,4:30:00 PM,74.25,3.57
2014/6/15,4:45:00 PM,74.338,3.57
2014/6/15,5:00:00 PM,74.381,3.57
2014/6/15,5:15:00 PM,74.295,3.57
2014/6/15,5:30:00 PM,74.295,3.57
2014/6/15,5:45:00 PM,74.381,3.57
2014/6/15,6:00:00 PM,74.424,3.57
2014/6/15,6:15:00 PM,74.25,3.57
2014/6/15,6:30:00 PM,74.206,3.57
2014/6/15,6:45:00 PM,74.381,3.57
2014/6/15,7:00:00 PM,74.554,3.57
2014/6/15,7:15:00 PM,74.424,3.57
2014/6/15,7:30:00 PM,74.25,3.57
2014/6/15,7:45:00 PM,73.947,3.57
2014/6/15,8:00:00 PM,73.645,3.57
2014/6/15,8:15:00 PM,73.429,3.57
2014/6/15,8:30:00 PM,73.17,3.57
2014/6/15,8:45:00 PM,72.997,3.57
2014/6/15,9:00:00 PM,72.826,3.57
2014/6/15,9:15:00 PM,72.696,3.57
2014/6/15,9:30:00 PM,72.61,3.57
2014/6/15,9:45:00 PM,72.653,3.57
2014/6/15,10:00:00 PM,72.739,3.57
2014/6/15,10:15:00 PM,72.869,3.57
2014/6/15,10:30:00 PM,73.04,3.57
2014/6/15,10:45:00 PM,73.17,3.57
2014/6/15,11:00:00 PM,73.299,3.57
2014/6/15,11:15:00 PM,73.386,3.57
2014/6/15,11:30:00 PM,73.472,3.57
2014/6/15,11:45:00 PM,73.515,3.57
2014/6/16,12:00:00 AM,73.515,3.57
2014/6/16,12:15:00 AM,73.472,3.57
2014/6/16,12:30:00 AM,73.386,3.57
2014/6/16,12:45:00 AM,73.299,3.54
2014/6/16,1:00:00 AM,73.17,3.57
2014/6/16,1:15:00 AM,73.04,3.57
2014/6/16,1:30:00 AM,72.955,3.57
2014/6/16,1:45:00 AM,72.869,3.57
2014/6/16,2:00:00 AM,72.826,3.57
2014/6/16,2:15:00 AM,72.739,3.57
2014/6/16,2:30:00 AM,72.739,3.57
2014/6/16,2:45:00 AM,72.696,3.57
2014/6/16,3:00:00 AM,72.739,3.57
