Date,Time,Temp.C
2010/1/7,9:45,9.44
2010/1/7,10:00,9.44
2010/1/7,10:15,9.44
2010/1/7,10:30,9.44
2010/1/7,10:45,9.41
2010/1/7,11:00,9.41
2010/1/7,11:15,9.44
2010/1/7,11:30,9.44
2010/1/7,11:45,9.44
2010/1/7,12:00,9.46
2010/1/7,12:15,9.46
2010/1/7,12:30,9.46
2010/1/7,12:45,9.49
2010/1/7,13:00,9.49
2010/1/7,13:15,9.51
2010/1/7,13:30,9.51
2010/1/7,13:45,9.51
2010/1/7,14:00,9.51
2010/1/7,14:15,9.51
2010/1/7,14:30,9.53
2010/1/7,14:45,9.53
2010/1/7,15:00,9.53
2010/1/7,15:15,9.53
2010/1/7,15:30,9.53
2010/1/7,15:45,9.56
2010/1/7,16:00,9.56
2010/1/7,16:15,9.56
2010/1/7,16:30,9.56
2010/1/7,16:45,9.56
2010/1/7,17:00,9.56
2010/1/7,17:15,9.56
2010/1/7,17:30,9.56
2010/1/7,17:45,9.56
2010/1/7,18:00,9.56
2010/1/7,18:15,9.56
2010/1/7,18:30,9.56
2010/1/7,18:45,9.53
2010/1/7,19:00,9.53
2010/1/7,19:15,9.53
2010/1/7,19:30,9.53
2010/1/7,19:45,9.56
2010/1/7,20:00,9.53
2010/1/7,20:15,9.53
2010/1/7,20:30,9.53
2010/1/7,20:45,9.53
2010/1/7,21:00,9.53
2010/1/7,21:15,9.53
2010/1/7,21:30,9.51
2010/1/7,21:45,9.53
2010/1/7,22:00,9.51
2010/1/7,22:15,9.53
2010/1/7,22:30,9.53
2010/1/7,22:45,9.53
2010/1/7,23:00,9.53
2010/1/7,23:15,9.53
2010/1/7,23:30,9.51
2010/1/7,23:45,9.51
2010/1/8,0:00,9.51
2010/1/8,0:15,9.51
2010/1/8,0:30,9.51
2010/1/8,0:45,9.51
2010/1/8,1:00,9.51
2010/1/8,1:15,9.51
2010/1/8,1:30,9.49
2010/1/8,1:45,9.51
2010/1/8,2:00,9.51
2010/1/8,2:15,9.49
2010/1/8,2:30,9.49
2010/1/8,2:45,9.49
2010/1/8,3:00,9.49
2010/1/8,3:15,9.49
2010/1/8,3:30,9.46
2010/1/8,3:45,9.46
2010/1/8,4:00,9.46
2010/1/8,4:15,9.46
2010/1/8,4:30,9.46
2010/1/8,4:45,9.46
2010/1/8,5:00,9.46
2010/1/8,5:15,9.49
2010/1/8,5:30,9.49
2010/1/8,5:45,9.49
2010/1/8,6:00,9.49
2010/1/8,6:15,9.49
2010/1/8,6:30,9.49
2010/1/8,6:45,9.49
2010/1/8,7:00,9.46
2010/1/8,7:15,9.46
2010/1/8,7:30,9.46
2010/1/8,7:45,9.44
2010/1/8,8:00,9.44
2010/1/8,8:15,9.44
2010/1/8,8:30,9.44
2010/1/8,8:45,9.44
2010/1/8,9:00,9.44
2010/1/8,9:15,9.44
2010/1/8,9:30,9.44
2010/1/8,9:45,9.44
2010/1/8,10:00,9.44
2010/1/8,10:15,9.41
2010/1/8,10:30,9.44
2010/1/8,10:45,9.44
2010/1/8,11:00,9.44
2010/1/8,11:15,9.41
2010/1/8,11:30,9.41
2010/1/8,11:45,9.39
2010/1/8,12:00,9.41
2010/1/8,12:15,9.41
2010/1/8,12:30,9.41
2010/1/8,12:45,9.44
2010/1/8,13:00,9.44
2010/1/8,13:15,9.46
2010/1/8,13:30,9.49
2010/1/8,13:45,9.49
2010/1/8,14:00,9.51
2010/1/8,14:15,9.51
2010/1/8,14:30,9.53
2010/1/8,14:45,9.53
2010/1/8,15:00,9.56
2010/1/8,15:15,9.58
2010/1/8,15:30,9.58
2010/1/8,15:45,9.58
2010/1/8,16:00,9.58
2010/1/8,16:15,9.58
2010/1/8,16:30,9.58
2010/1/8,16:45,9.61
2010/1/8,17:00,9.61
2010/1/8,17:15,9.61
2010/1/8,17:30,9.61
2010/1/8,17:45,9.61
2010/1/8,18:00,9.63
2010/1/8,18:15,9.63
2010/1/8,18:30,9.61
2010/1/8,18:45,9.61
2010/1/8,19:00,9.58
2010/1/8,19:15,9.58
2010/1/8,19:30,9.56
2010/1/8,19:45,9.56
2010/1/8,20:00,9.56
2010/1/8,20:15,9.53
2010/1/8,20:30,9.53
2010/1/8,20:45,9.53
2010/1/8,21:00,9.51
2010/1/8,21:15,9.51
