SampleID,SampleDate,WaterTemperature,Secchi,Conductivity,DO,pH
2021,1998/1/16,11.67,,,,
2022,1998/1/16,11.67,,,,
2023,1998/1/19,11.11,0.07,,,
2024,1998/1/19,11.11,0.1,,,
2025,1998/1/19,11.11,0.11,,,
2026,1998/1/19,11.11,0.16,,,
2027,1998/1/19,11.11,0.11,,,
2028,1998/1/19,11.11,0.09,,,
2029,1998/1/19,11.11,0.16,,,
2030,1998/1/19,11.11,0.1,,,
2031,1998/1/19,11.11,0.1,,,
2032,1998/1/19,11.11,0.16,,,
2033,1998/1/19,11.11,0.1,,,
293,1998/1/20,11.11,0.11,,,
294,1998/1/20,10.56,0.11,,,
295,1998/1/20,10,0.12,,,
296,1998/1/20,11.11,0.23,,,
297,1998/1/20,10.56,0.23,,,
298,1998/1/20,10.56,0.16,,,
299,1998/1/20,10.56,0.25,,,
300,1998/1/20,10.56,0.28,,,
2034,1998/1/20,10.56,0.11,,,
2035,1998/1/20,10.56,0.11,,,
2036,1998/1/20,10.56,0.11,,,
2037,1998/1/20,,,,,
2038,1998/1/20,,,,,
2039,1998/1/20,,,,,
104,1998/1/21,10.56,0.09,,,
105,1998/1/21,10.56,0.12,,,
106,1998/1/21,10.56,0.1,,,
301,1998/1/22,10.56,0.12,,,
302,1998/1/22,10.56,0.08,,,
303,1998/1/22,10.56,0.1,,,
304,1998/1/22,10.56,0.1,,,
305,1998/1/22,10.56,0.13,,,
2040,1998/1/22,9.44,0.11,,,
2041,1998/1/22,10,0.14,,,
2042,1998/1/22,10.56,0.14,,,
2043,1998/1/22,9.44,0.11,,,
2044,1998/1/22,10.56,0.11,,,
2045,1998/1/22,9.44,0.11,,,
2046,1998/1/22,10.56,0.13,,,
2047,1998/1/22,9.44,0.11,,,
2048,1998/1/22,9.44,0.11,,,
2049,1998/1/22,10,0.11,,,
2050,1998/1/22,10,0.11,,,
2051,1998/1/22,10,0.11,,,
1185,1998/1/23,9.44,,,,
2052,1998/1/23,9.44,,,,
2053,1998/1/23,9.44,,,,
2054,1998/1/23,10,,,,
2055,1998/1/23,10.56,0.19,,,
2056,1998/1/23,10,,,,
1274,1998/1/26,10.56,0.22,,,
1275,1998/1/26,10.56,0.22,,,
306,1998/1/27,10.56,0.27,,,
1276,1998/1/27,10.56,0.24,,,
2057,1998/1/27,,,,,
2058,1998/1/27,11.11,,,,
1277,1998/1/28,11.11,,,,
1278,1998/1/29,11.67,0.2,,,
1279,1998/1/29,,,,,
307,1998/1/30,10.56,0.11,,,
308,1998/1/30,11.11,0.1,,,
309,1998/1/30,11.11,0.08,,,
1280,1998/1/30,10.56,0.2,,,
2059,1998/1/30,11.11,0.14,,,
2060,1998/1/30,10.56,0.13,,,
2061,1998/1/30,10.56,0.1,,,
2062,1998/1/30,12.22,,,,
2063,1998/1/30,12.22,,,,
2064,1998/1/30,12.22,,,,
2065,1998/1/30,12.22,,,,
1281,1998/2/1,,,,,
43,1998/2/2,11.11,,,,
44,1998/2/2,11.11,,,,
107,1998/2/2,11.11,,,,
108,1998/2/2,11.11,,,,
310,1998/2/2,,,,,
1186,1998/2/2,10.56,,,,
