"","SampleDate","day.t"
"1",1998-01-16,11.67
"2",1998-01-19,11.11
"3",1998-01-20,10.6090909090909
"4",1998-01-21,10.56
"5",1998-01-22,10.0988235294118
"6",1998-01-23,9.81333333333333
"7",1998-01-26,10.56
"8",1998-01-27,10.7433333333333
"9",1998-01-28,11.11
"10",1998-01-29,11.67
"11",1998-01-30,11.3136363636364
"12",1998-02-01,NA
"13",1998-02-02,10.9266666666667
"14",1998-02-03,11.11
"15",1998-02-04,11.115
"16",1998-02-05,10.78
"17",1998-02-06,10.56
"18",1998-02-09,10
"19",1998-02-10,10
"20",1998-02-11,10
"21",1998-02-13,10.3992857142857
"22",1998-02-15,10.56
"23",1998-02-17,10
"24",1998-02-18,NA
"25",1998-02-20,10.5533333333333
"26",1998-02-22,8.89
"27",1998-02-23,10
"28",1998-02-24,10.1585714285714
"29",1998-02-25,10.9266666666667
"30",1998-02-26,10.56
"31",1998-02-27,11.11
"32",1998-03-01,11.67
"33",1998-03-02,13.335
"34",1998-03-03,12.9469230769231
"35",1998-03-04,11.888
"36",1998-03-05,11.334
"37",1998-03-06,11.1133333333333
"38",1998-03-07,10.56
"39",1998-03-09,13.554
"40",1998-03-10,13.224
"41",1998-03-11,15
"42",1998-03-12,15.56
"43",1998-03-13,14.556
"44",1998-03-15,NA
"45",1998-03-16,18.7285714285714
"46",1998-03-17,15.9025
"47",1998-03-18,19.334
"48",1998-03-19,17.3021428571429
"49",1998-03-20,17.36125
"50",1998-03-22,16.67
"51",1998-03-23,17.446
"52",1998-03-24,17.334
"53",1998-03-25,18.33
"54",1998-03-26,16.11
"55",1998-03-27,14.44
"56",1998-03-29,13.33
"57",1998-03-30,13.0566666666667
"58",1998-03-31,12.2233333333333
"59",1998-04-01,11.67
"60",1998-04-02,12.22
"61",1998-04-03,12.22
"62",1998-04-05,12.78
"63",1998-04-06,12.7766666666667
"64",1998-04-07,13.33
"65",1998-04-08,13.89
"66",1998-04-09,13.89
"67",1998-04-10,15.56
"68",1998-04-11,15
"69",1998-04-13,14.4444444444444
"70",1998-04-14,13.46875
"71",1998-04-15,14.63
"72",1998-04-16,13.33
"73",1998-04-17,17.4763636363636
"74",1998-04-19,17.78
"75",1998-04-20,20.9283333333333
"76",1998-04-21,22.29
"77",1998-04-22,22.78
"78",1998-04-23,19.44
"79",1998-04-24,17.22
"80",1998-04-26,16.67
"81",1998-04-27,23.7314285714286
"82",1998-04-28,22.8781818181818
"83",1998-04-29,21.226
"84",1998-04-30,21.721
"85",1998-05-01,20.56
"86",1998-05-04,19.44
"87",1998-05-05,19.44
"88",1998-05-06,18.33
"89",1998-05-07,18.33
"90",1998-05-08,18.33
"91",1998-05-11,17.78
"92",1998-05-12,17.22
"93",1998-05-13,16.11
"94",1998-05-14,16.11
"95",1998-05-15,16.67
"96",1998-05-18,NA
"97",1998-05-19,18.33
"98",1998-05-20,NA
"99",1998-05-21,18.33
"100",1998-05-22,20
"101",1998-05-27,NA
"102",1998-05-28,18.89
"103",1998-05-29,16.67
"104",1998-06-01,NA
"105",1998-06-02,18.61
